3580.40	0.0065	0.59	4.22	3.14	0.15
3580.20	0.0045	0.61	2.85	2.30	0.19
3580.00	0.0073	0.41	1.11	3.78	1.67
3579.80	0.0068	0.31	0.54	3.64	2.02
3579.60	0.0109	0.31	4.75	3.58	1.99
3579.40	0.0102	0.15	1.23	2.79	2.01
3579.20	0.0070	0.18	1.05	3.95	3.02
3579.00	0.0077	0.57	3.07	4.67	1.73
3578.80	0.0077	0.47	7.14	4.42	2.03
3578.60	0.0070	0.27	6.27	3.42	2.03
3578.40	0.0059	0.55	2.91	2.40	0.15
3578.20	0.0054	0.48	1.50	4.15	1.69
3578.00	0.0066	0.63	3.75	5.01	1.79
3577.80	0.0058	0.48	2.78	3.62	1.16
3577.60	0.0055	0.45	1.48	4.75	2.42
3577.40	0.0058	0.59	3.32	5.75	2.72
3577.20	0.0084	0.85	3.72	7.62	3.22
3577.00	0.0084	0.56	4.84	5.24	2.34
3576.80	0.0064	0.39	4.00	2.82	0.80
3576.60	0.0067	0.25	0.49	3.27	2.00
3576.40	0.0081	0.65	0.33	4.35	1.00
3576.20	0.0088	0.83	0.99	5.69	1.42
3576.00	0.0089	0.48	3.91	7.95	5.43
3575.80	0.0044	0.75	1.49	4.51	0.68
3575.60	0.0079	0.60	5.13	3.81	0.75
3575.40	0.0070	0.75	7.53	2.17	0.17
3575.20	0.0084	0.38	4.46	3.81	1.85
3575.00	0.0122	0.34	0.61	1.81	0.09
3574.80	0.0110	0.28	1.22	5.39	3.91
3574.60	0.0075	0.29	2.81	4.02	2.49
3574.40	0.0067	0.17	4.46	3.48	2.63
3574.20	0.0071	0.54	3.49	3.16	0.39
3574.00	0.0088	0.46	3.06	6.00	3.60
3573.80	0.0102	0.59	1.30	5.38	2.34
3573.60	0.0058	0.65	2.60	5.29	1.97
3573.40	0.0063	0.29	3.72	5.10	3.56
3573.20	0.0050	0.32	4.99	6.59	4.92
3528.00	0.0013	0.13	8.71	0.18	0.18
3527.80	0.0027	0.50	6.28	2.74	0.18
3527.60	0.0056	0.65	3.09	2.70	0.15
3527.40	0.0051	0.54	1.16	3.29	0.53
3527.20	0.0077	0.56	3.14	2.74	0.19
3527.00	0.0043	0.52	4.22	1.75	0.12
3526.80	0.0095	0.43	5.14	3.71	1.52
3526.60	0.0094	0.39	3.69	3.49	1.49
3526.40	0.0073	0.53	4.72	2.65	0.19
3526.20	0.0022	0.43	2.94	1.97	0.12
3526.00	0.0044	0.53	0.51	1.13	0.19
